code,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sh.600158,2018-03-27,2017-12-31,0.036094,2.321726,0.292179,1.250083,0.042563,0.598313,0.761220,0.093454
sh.600159,2018-04-20,2017-12-31,0.009501,1.396619,0.201849,1.001805,0.033642,0.666461,0.747641,0.067517
sh.600160,2018-04-20,2017-12-31,0.088084,1.168036,1.109908,0.990742,0.068579,0.775498,1.006791,0.087836
sh.600161,2018-04-02,2017-12-31,0.450839,1.805158,0.373621,0.946959,0.705900,0.914117,0.985872,0.783287
sh.600162,2018-04-11,2017-12-31,0.130126,2.737433,0.251115,0.963104,0.196551,0.740613,0.857825,0.309375
sh.600163,2018-03-30,2017-12-31,0.092618,2.055366,0.148771,0.896104,0.338010,0.807251,0.789406,0.530420
sh.600165,2018-04-26,2017-12-31,0.046072,3.401468,0.442141,0.929035,0.032975,0.971797,0.328490,0.103296
sh.600166,2018-04-14,2017-12-31,0.005912,3.072190,0.889003,3.868934,0.000559,0.611012,0.098679,0.009279
sh.600167,2018-04-13,2017-12-31,0.192387,1.838592,0.269671,0.976697,0.397280,0.774997,1.138785,0.450148
sh.600168,2018-02-14,2017-12-31,0.069880,2.034245,0.131031,1.013607,0.258646,0.908710,0.786457,0.361914
sh.600169,2018-04-26,2017-12-31,0.012723,7.247171,0.241370,1.015257,0.007164,0.851491,0.078020,0.107840
sh.600170,2018-03-28,2017-12-31,0.103186,7.387313,0.767901,0.926816,0.019626,0.756760,0.755620,0.034322
sh.600171,2018-04-03,2017-12-31,0.081875,1.144079,0.231553,0.992018,0.311548,1.021425,1.437422,0.212195
sh.600172,2018-04-26,2017-12-31,0.067808,1.972643,0.320275,1.000621,0.107261,0.862631,0.660573,0.188233
sh.600173,2018-04-13,2017-12-31,0.175081,2.746391,0.315534,0.885358,0.228198,0.873726,1.029028,0.253811
sh.600175,2018-05-03,2017-12-31,0.005370,1.596346,0.376614,0.469912,0.019006,0.616085,0.653297,0.047222
sh.600176,2018-03-20,2017-12-31,0.183631,2.080891,0.355126,0.996412,0.249388,0.851744,0.869846,0.336608
sh.600177,2018-04-28,2017-12-31,0.012604,2.778647,0.150416,1.009573,0.029871,0.363251,0.436081,0.188572
sh.600178,2018-04-24,2017-12-31,0.023055,2.205421,0.443160,1.000000,0.023589,1.000000,0.736885,0.032012
sh.600179,2018-03-13,2017-12-31,0.202876,2.813587,0.882529,1.000000,0.081703,0.744305,0.945929,0.116046
sh.600180,2018-04-20,2017-12-31,0.145107,3.808081,1.998028,0.999749,0.019076,0.781018,0.616163,0.039640
sh.600182,2018-04-17,2017-12-31,0.067300,2.829500,1.345859,0.470391,0.037570,0.736301,0.888831,0.057408
sh.600183,2018-03-28,2017-12-31,0.194248,2.022150,0.961040,0.965259,0.103552,0.854628,0.934141,0.129708
sh.600184,2018-04-21,2017-12-31,0.019644,1.697160,0.491594,1.000914,0.023523,0.963773,0.952530,0.025624
sh.600185,2018-04-25,2017-12-31,0.082611,3.553468,0.116557,1.001556,0.199146,0.754006,0.967607,0.272959
sh.600186,2018-04-28,2017-12-31,-1.204685,23.088759,0.934695,0.735604,-0.075886,1.026439,1.483101,-0.049849
sh.600187,2018-03-30,2017-12-31,0.005879,1.441768,0.100549,1.231431,0.032930,0.748781,0.454298,0.096805
sh.600188,2018-03-24,2017-12-31,0.139655,3.511777,0.888244,0.861198,0.051987,0.761774,0.805530,0.084720
sh.600189,2018-04-28,2017-12-31,0.006123,2.593388,0.202175,0.231938,0.050349,0.549027,0.672801,0.136305
sh.600190,2018-02-14,2017-12-31,0.024010,2.334227,0.325725,0.934248,0.033801,0.770993,0.374037,0.117211
sh.600191,2018-04-28,2017-12-31,0.005405,1.162981,0.065106,1.002695,0.071189,15.211041,0.098657,0.047438
sh.600192,2018-03-26,2017-12-31,0.008549,2.404809,0.408235,0.552942,0.015749,0.739155,0.454821,0.046845
sh.600193,2018-04-28,2017-12-31,-0.355983,1.320619,0.085043,1.000000,-3.169659,1.000000,1.004880,-3.154267
sh.600195,2018-04-20,2017-12-31,0.113634,1.749600,0.661013,0.939570,0.104575,0.860454,0.936814,0.129732
sh.600196,2018-03-27,2017-12-31,0.131511,2.225280,0.350554,0.871485,0.193447,0.882696,0.888546,0.246644
sh.600197,2018-03-10,2017-12-31,0.172763,1.414262,0.663373,0.990145,0.185979,0.720404,1.035340,0.249348
sh.600198,2018-04-26,2017-12-31,-2.774220,10.851954,0.419622,0.943634,-0.645610,1.000152,1.109025,-0.582054
sh.600199,2018-03-17,2017-12-31,0.003649,1.427201,0.402799,0.893976,0.007101,0.362660,-1.503687,-0.013021
sh.600200,2018-03-31,2017-12-31,0.045433,1.685173,0.599645,0.984086,0.045688,0.736899,0.842301,0.073608
sh.600201,2018-04-28,2017-12-31,0.211700,1.220340,0.379016,1.002174,0.456708,0.846727,1.036042,0.520617
sh.600202,2018-04-24,2017-12-31,-0.136862,2.788618,0.153359,1.000000,-0.320025,0.854693,1.398718,-0.267697
sh.600203,2018-04-16,2017-12-31,-0.052644,2.465242,1.556355,1.001974,-0.013694,0.858205,1.259051,-0.012673
sh.600206,2018-03-26,2017-12-31,0.015371,1.159334,1.241650,0.936721,0.011399,0.857508,0.989461,0.013435
sh.600207,2018-03-10,2017-12-31,0.004774,1.240879,0.840913,0.694466,0.006588,0.541780,0.843875,0.014409
sh.600208,2018-04-28,2017-12-31,0.108451,3.854708,0.148216,0.991536,0.191442,0.801690,0.757083,0.315419
sh.600209,2018-04-21,2017-12-31,-0.071114,1.370279,0.170810,0.803004,-0.378366,1.006261,0.997375,-0.377002
sh.600210,2018-03-22,2017-12-31,0.130199,2.448943,0.815264,0.972894,0.067029,0.853367,0.783701,0.100226
sh.600211,2018-03-16,2017-12-31,0.169867,1.708951,0.396313,0.980174,0.255881,0.895596,1.027872,0.277962
sh.600212,2018-04-18,2017-12-31,0.016816,1.083812,0.310341,1.000000,0.049994,1.000000,1.012815,0.049362
sh.600213,2018-04-24,2017-12-31,0.281690,30.791273,0.509937,0.819009,0.021905,0.762093,0.503223,0.057118
sh.600215,2018-04-27,2017-12-31,0.003720,1.357100,0.126610,1.002895,0.021585,0.440461,0.989842,0.049509
sh.600216,2018-04-25,2017-12-31,0.035486,1.304207,0.611852,1.056795,0.042080,0.796963,0.972090,0.054316
sh.600217,2018-03-20,2017-12-31,0.160717,2.970585,0.581395,0.988404,0.094149,0.833110,0.698663,0.161750
sh.600218,2018-03-30,2017-12-31,0.032419,1.885461,0.893155,1.026680,0.018751,0.876507,1.164059,0.018378
sh.600219,2018-02-10,2017-12-31,0.050027,1.377320,0.384732,0.936652,0.100794,0.761711,0.935539,0.141443
sh.600220,2018-04-17,2017-12-31,0.060116,2.291575,0.466339,0.889878,0.063216,1.142781,0.516750,0.107049
sh.600221,2018-03-23,2017-12-31,0.058514,3.041916,0.346775,0.856044,0.064800,0.806943,0.531297,0.151144
sh.600222,2018-03-31,2017-12-31,0.003447,1.835240,0.428060,0.695868,0.006306,0.701565,0.159093,0.056499
sh.600223,2018-03-29,2017-12-31,0.046234,18.851610,0.175716,0.908675,0.015360,0.458944,0.924457,0.036203
sh.600225,2018-04-25,2017-12-31,0.130810,9.832910,0.098273,1.440782,0.093957,0.441102,0.326757,0.651876
sh.600226,2018-02-14,2017-12-31,0.088474,1.494510,0.298561,0.983497,0.201609,0.930284,0.932996,0.232282
sh.600227,2018-04-27,2017-12-31,0.008190,1.514769,0.239816,1.000000,0.022546,0.544339,0.548724,0.075483
sh.600228,2018-04-28,2017-12-31,0.674927,10.009306,1.427608,1.925320,0.024532,0.826986,0.685949,0.043247
sh.600229,2018-04-20,2017-12-31,0.148572,1.448183,0.613467,0.990853,0.168777,0.991703,1.019516,0.166931
sh.600230,2018-04-10,2017-12-31,0.603526,1.902825,1.091949,0.886006,0.327837,0.807852,0.973910,0.416685
sh.600231,2018-04-21,2017-12-31,0.207905,2.598861,1.192407,1.000000,0.067090,0.697760,0.900464,0.106779
sh.600232,2018-04-20,2017-12-31,0.021574,1.471760,0.715591,0.972050,0.021073,0.615129,0.895559,0.038254
sh.600233,2018-03-24,2017-12-31,0.165594,1.452616,1.578932,0.997125,0.072407,0.759024,1.016407,0.093855
sh.600234,2018-04-28,2017-12-31,-0.304034,5.819859,0.029690,0.866284,-2.031153,1.008016,1.657337,-1.215806
sh.600235,2018-03-30,2017-12-31,0.015127,1.782872,0.711017,1.042560,0.011446,0.997230,0.360951,0.031799
sh.600236,2018-04-27,2017-12-31,0.178940,2.880294,0.217131,0.895047,0.319672,0.816200,0.777650,0.503645
sh.600237,2018-04-28,2017-12-31,0.011430,1.693864,0.390885,0.967792,0.017838,0.691081,0.443417,0.058211
sh.600238,2018-04-25,2017-12-31,-0.130881,2.262334,0.622889,0.999857,-0.092891,0.933728,1.327982,-0.074913
sh.600239,2018-03-20,2017-12-31,0.053280,14.423743,0.201347,0.625411,0.029334,0.596916,0.312741,0.157137
sh.600240,2018-04-25,2017-12-31,0.160125,3.236462,0.191402,1.002908,0.257739,0.883220,0.701839,0.415790
sh.600241,2018-04-28,2017-12-31,0.018912,2.455702,0.592877,0.831578,0.015621,0.705471,0.442481,0.050041
sh.600242,2018-04-12,2017-12-31,0.070770,1.557772,0.818017,1.000000,0.055537,0.865267,0.890128,0.072107
sh.600243,2018-04-03,2017-12-31,0.012012,1.707240,0.308221,1.210673,0.018855,0.462831,0.550666,0.073982
sh.600246,2018-04-27,2017-12-31,0.052595,2.035061,0.239105,1.020737,0.105891,0.634303,0.723173,0.230845
sh.600247,2018-04-28,2017-12-31,-1.809819,23.492355,0.220692,1.002477,-0.348215,1.004579,15.217744,-0.022778
sh.600248,2018-03-31,2017-12-31,0.067449,2.758753,0.709698,1.000000,0.034450,0.859688,1.064587,0.037641
sh.600249,2018-03-30,2017-12-31,-0.074925,1.556390,0.492140,0.874952,-0.111799,1.054876,1.313193,-0.080706
sh.600250,2018-04-28,2017-12-31,0.237277,4.464634,0.453352,1.016579,0.115317,0.985850,0.622258,0.187980
sh.600251,2018-03-29,2017-12-31,0.044213,2.281101,0.365057,1.010433,0.052545,0.954247,0.666611,0.082604
sh.600252,2018-03-30,2017-12-31,0.110845,1.223406,0.306703,1.000009,0.295408,0.812560,1.098231,0.331034
sh.600255,2018-04-28,2017-12-31,0.044373,1.599165,0.991467,0.782843,0.035749,0.930297,0.971080,0.039572
sh.600256,2018-04-11,2017-12-31,0.057593,3.872670,0.184652,1.336022,0.060283,0.546011,0.537366,0.205458
sh.600257,2018-04-28,2017-12-31,0.006432,1.307369,0.593223,0.859742,0.009646,0.690536,0.857721,0.016286
sh.600258,2018-03-30,2017-12-31,0.089749,2.428378,0.493060,0.957026,0.078323,0.658310,0.837239,0.142105
sh.600259,2018-03-30,2017-12-31,0.010542,2.260327,1.251392,0.777273,0.004795,0.570689,0.358290,0.023450
sh.600260,2018-03-28,2017-12-31,0.192410,4.230684,0.930918,0.917110,0.053270,0.875398,0.678278,0.089716
sh.600261,2018-04-17,2017-12-31,0.123663,1.871229,0.830202,0.967969,0.082237,0.857077,1.032299,0.092948
sh.600262,2018-04-24,2017-12-31,0.036210,1.998207,0.431083,0.996101,0.042201,0.881277,0.744124,0.064353
sh.600265,2018-03-24,2017-12-31,-1.264439,13.310623,0.202429,1.002034,-0.468322,1.002138,1.495043,-0.312582
sh.600266,2018-03-24,2017-12-31,0.073028,4.370004,0.161164,0.925844,0.111996,0.842580,0.904002,0.147036
sh.600267,2018-03-27,2017-12-31,0.002013,3.145549,0.498719,0.058585,0.021905,0.666928,0.528336,0.062165
sh.600268,2018-03-24,2017-12-31,0.017880,4.946526,0.586942,0.238485,0.025823,0.702851,0.601160,0.061117
sh.600269,2018-03-27,2017-12-31,0.068172,2.294020,0.130938,1.064103,0.213285,0.687031,0.683394,0.454269
