code,mean,std
sz.300069,0.034732,
sh.600455,0.034757,
sz.002483,0.0348,
sh.600369,0.034847,
sz.000027,0.034894,
sz.000777,0.034911,
sz.002253,0.035009,
sz.300562,0.035042,
sh.600370,0.035094,
sz.002761,0.035101,
sz.300456,0.035131,
sz.000925,0.035176,
sh.600586,0.035214,
sh.600017,0.035243,
sh.603028,0.035255,
sz.000810,0.035273,
sz.002255,0.035427,
sz.000978,0.035485,
sh.600216,0.035486,
sh.601600,0.035533,
sh.600135,0.035599,
sh.600834,0.035651,
sz.300411,0.035715,
sh.600493,0.035787,
sh.601333,0.035791,
sh.600555,0.035791,
sz.000157,0.035808,
sz.002526,0.035845,
sz.000800,0.035906,
sh.600536,0.035915,
sz.300206,0.035923,
sz.300101,0.03593,
sz.000528,0.035968,
sz.002743,0.035972,
sh.600158,0.036094,
sz.000886,0.036121,
sh.600861,0.036152,
sh.600860,0.03618,
sz.002545,0.03621,
sh.600262,0.03621,
sh.600888,0.036244,
sz.000043,0.036457,
sz.300362,0.036837,
sh.600836,0.036845,
sz.002216,0.036854,
sz.000428,0.036865,
sh.600975,0.037008,
sh.600470,0.037094,
sz.002813,0.037129,
sh.600468,0.037144,
sz.300010,0.037352,
sz.002593,0.037429,
sh.600592,0.037472,
sh.603036,0.037485,
sz.300281,0.037566,
sz.002037,0.037646,
sh.600623,0.037676,
sz.000613,0.037765,
sz.002066,0.037765,
sh.600876,0.038004,
sz.002779,0.038048,
sz.000612,0.038053,
sz.300516,0.038166,
sz.002106,0.038171,
sh.603843,0.038192,
sh.600722,0.038318,
sz.300278,0.038332,
sz.002393,0.038333,
sz.000682,0.038339,
sz.300058,0.03835,
sh.601555,0.038401,
sz.002315,0.038401,
sh.600624,0.038446,
sh.600777,0.038536,
sz.002325,0.038631,
sz.002371,0.038652,
sz.300200,0.038711,
sh.601005,0.038729,
sz.002607,0.038932,
sz.002328,0.038948,
sz.300224,0.038961,
sh.600982,0.038962,
sh.600811,0.038971,
sz.000839,0.039082,
sz.300390,0.03914,
sz.002173,0.039166,
sz.300273,0.039173,
sz.000758,0.039381,
sh.600505,0.039392,
sh.600776,0.039403,
sz.300300,0.039403,
sh.601872,0.039405,
sz.002465,0.039558,
sh.600575,0.039563,
sz.000697,0.039595,
sz.002389,0.03967,
sh.601369,0.039708,
sz.000753,0.03982,
sz.002189,0.039872,
sh.601901,0.039885,
sz.002282,0.039923,
sz.300419,0.039932,
sh.600604,0.040015,
sh.601028,0.040091,
sz.000709,0.040091,
sz.000877,0.040096,
sz.002546,0.040256,
sz.300173,0.040355,
sz.002250,0.040432,
sz.000599,0.040522,
sz.000878,0.040553,
sz.002446,0.040575,
sz.002298,0.040711,
sz.002017,0.040736,
